PortalID,GrantID,Status,LastUpdated,ChangeNotes,AgencyDept,Title,Type,LOI,Categories,CategorySuggestion,Purpose,Description,ApplicantType,ApplicantTypeNotes,Geography,FundingSource,FundingSourceNotes,MatchingFunds,MatchingFundsNotes,EstAvailFunds,EstAwards,EstAmounts,FundingMethod,FundingMethodNotes,OpenDate,ApplicationDeadline,AwardPeriod,ExpAwardDate,ElecSubmission,GrantURL,AgencyURL,AgencySubscribeURL,GrantEventsURL,ContactInfo,AwardStats
10337,,active,"2022-05-11 17:22:59",,"Wildlife Conservation Board","Habitat Enhancement and Restoration",Grant,Yes,"Environment & Water",,"The purpose of this program is to provide assistance for the restoration and enhancement of fish and wildlife resources.","Consistent with Fish and Game Code section 1301, this program provides assistance for the restoration and enhancement of fish and wildlife resources. Eligible projects include: native fisheries restoration; restoration of wetlands; restoration of coastal, tidal, or fresh water habitat; other native habitat restoration projects including coastal scrub oak, grasslands, and threatened and endangered species habitats; in-stream restoration projects, including removal of fish passage barriers and other obstructions; and other projects that improve the quality of native habitat throughout the State.","Nonprofit; Public Agency; Tribal Government",,Statewide,State,,"Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$5,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-11 07:00:00",Ongoing,"2-4 year grant terms",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Judah Grossman; email: judah.grossman@wildlife.ca.gov; tel: 1-916-926-8830;",
10322,,active,"2022-05-11 14:54:19",,"Wildlife Conservation Board","Wildlife Corridor and Fish Passage",Grant,Yes,"Disadvantaged Communities; Environment & Water; Science, Technology, and Research & Development; Transportation",,"The Program is seeking proposals for planning or implementation projects that construct, repair, modify, or remove transportation infrastructure or water resources infrastructure improving passage for wildlife or fish. Additional consideration will be given for projects that restore or enhance wildlife mobility or fish passage across barriers whose impacts on migration have been increased by drought conditions.","WCB is seeking projects that restore or enhance habitat in wildlife migration corridors or that remove impediments to fish passage. Examples of project types and their priority are identified below. All projectsmust provide for improved fish or wildlife mobility, and further the objectives of Proposition 68. The Program supports the following priorities:  Priority 1:  -Construction of wildlife overcrossings and undercrossings in areas where wildlife mortality due to traffic interactions imperil a sensitive species.  -Restoration or enhancement of natural habitats that provide a visual screen in wildlife corridors for migrating wildlife species that are sensitive to human presence or to direct wildlife away from roadways and toward existing migration corridors.  -Removal of instream impediments to fish passage such as weirs, check dams or other water supply and flood control infrastructure.  -Installation of fish friendly culverts, fish ladders, bypass channels or other measures that allow migratory fish to go under, around or over passage barriers.  -Planning projects that provide designs and environmental review for future restoration projects at sites that are listed on either of CDFW’s 2020 Wildlife Movement Priority Barrier List or 2019 Fish Passage Priority List.  Priority 2:  -Installation of fencing or other measures that will direct wildlife away from roadways and toward existing migration corridors.  -Planning projects that provide designs and environmental review for future wildlife corridor and fish passage restoration projects at sites that are not listed on either of CDFW’s 2020 Wildlife Movement Priority Barrier List or 2019 Fish Passage Priority List.","Nonprofit; Public Agency; Tribal Government",,Statewide,State,"Currently there are no specific funding assigned to this program. However, WCB will consider general funding sources to support this program.","Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$5,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-11 07:00:00",Ongoing,"2-4 year grant terms",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Don Crocker; email: don.crocker@wildlife.ca.gov; tel: 1-916-926-7317;",
10316,,active,"2022-05-11 14:50:08",,"Wildlife Conservation Board","Stream Flow Enhancement",Grant,Yes,"Environment & Water",,"The Stream Flow Enhancement Program (SFEP) funds projects that enhance stream flows across the state of California. The SFEP defines enhanced streamflow to mean: a change in the amount, timing, and/or quality of water flowing down a stream, or a portion of a stream, to benefit fish and wildlife. ","The following are funding priorities for the stream flow enhancement projects:• Implementation projects resulting in measurable increases in stream flow• Acquisition projects resulting in permanent or long-term in-stream flow dedications• Projects that are focused on a watershed or regional approach• Projects in critical watersheds for salmonids• Projects that help to complete previously funded projects• Projects that evaluate stream flow conditions and stream responses to other stream flow enhancement projects  Funded projects are also consistent with the objectives and actions outlined in the California Water Action Plan, with the primary focus on enhancing flow in streams that support anadromous fish; support special-status, threatened, endangered, or at-risk species; or provide resilience to climate change.  For projects that may be funded by general fund stream flow enhancement funds, Full Applications will be given additional points that enhance outflows in the Sacramento-San Joaquin Delta watershed.Eligible project categories are Planning, Scientific Studies, Implementation, and Acquisition. Applications for Planning and Scientific Study projects must be stand-alone (i.e., not combined with other project categories).","Individual; Nonprofit; Public Agency; Tribal Government","Nonprofit, public agency, federally recognized Indian tribes, state Indian tribes, private landowners, public utilities, mutual water companies",Statewide,State,,"Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$140,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-11 07:00:00",Ongoing,"June 30, 2027",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Aaron Haiman; email: wcbstreamflow@wildlife.ca.gov; tel: 1-916-926-8835;",
10313,,active,"2022-05-11 14:42:09",,"Wildlife Conservation Board","San Joaquin River Conservancy",Grant,Yes,"Environment & Water; Parks & Recreation",,"The purpose of the SJRC is to create the San Joaquin River Parkway (Parkway) to preserve and enhance the river’s extraordinary biological diversity, protect its valued cultural and natural resources, and provide educational and recreational opportunities for local communities and visitors.","Activities eligible for the Program include:  Property acquisition for resources conservation and public accessHabitat enhancement and restoration of public or private landsPublic access improvements for recreational and educational purposes","Nonprofit; Public Agency; Tribal Government",,"The San Joaquin River Parkway, which is defined by state law as approximately 5,900 acres on both sides of a twenty-two-mile long reach of the river between Friant Dam to the east and State Route 99 to the west, in Fresno and Madera Counties ",State,,"Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$6,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-11 07:00:00",Ongoing,"June 30, 2027",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Erin Aquino-Carhart; email: erin.aqunio-carhart@wildlife.ca.gov; tel: 1-916-926-9586;",
10310,,active,"2022-05-11 14:37:16",,"Wildlife Conservation Board","Riparian Habitat Conservation",Grant,Yes,"Environment & Water",,"The California Riparian Habitat Conservation Program (Program) is accepting concept proposals for projects that provide meaningful and sustainable improvements to riparian habitats.","The goal of the CRHCP is to protect, preserve, and restore riparian habitats throughout California. Typical riparian projects include, but are not limited to:  Restoration of riparian vegetation and re-establishing floodplain connectivity.Active or passive restoration that may include an element of invasive plant removal and control.Installation of fencing along the riparian corridor to manage livestock or wildlife and reduce impacts to streams or riparian vegetation.Reconfigure degraded, incised, or undefined streams to restore natural hydrology and encourage reestablishment of native riparian habitat.","Nonprofit; Public Agency; Tribal Government",,Statewide,State,,"Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$3,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-11 07:00:00",Ongoing,"2-4 year grant terms",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Cara Allen; email: cara.allen@wildlife.ca.gov; tel: 1-916-926-9584;",
10307,,active,"2022-05-11 14:30:41",,"Wildlife Conservation Board","Rangeland, Grazing Land, and Grassland Protection",Grant,Yes,"Environment & Water",,"In September of 2002, Chapter 984, Statutes of 2002, enacted the Rangeland, Grazing Land and Grassland Protection Act of 2002. The Act designated the Wildlife Conservation Board (WCB) as the lead agency for carrying out the California Rangeland, Grazing Land and Grassland Protection Program. The purpose of the program is to protect California's rangeland, grazing land and grassland through the use of conservation easements.","Projects must protect the integrity of the rangeland, grazing lands and grasslands. The WCB will assist applicants interested in obtaining funding information from the different agricultural protection programs.Innovative compatible use activities address the external and internal components of sustainability.The WCB encourages projects to be developed with partners attempting to address regional landscape issues. A partnership approach brings to the project a diversity of skills, expertise, ideas and sometimes-even money that may not otherwise be available to complete a desired project. Project proposals that contain funding partners may receive a higher priority than those applicants requesting 100 percent of the necessary funds to acquire the conservation easement.The terms and conditions of the conservation easement must comply with the ""Principles of Compatible Use"".Landowner must disclose any known or suspected environmental conditions associated with the property.Landowner must certify the conservation easement was not, and is not, required to satisfy a condition imposed upon the landowner by any lease, permit, license, certificate, or other entitlement for use issued by one or more public agencies, including, but not limited to, the mitigation of significant effects on the environment of a project pursuant to an approved environmental impact report or mitigated negative declaration.Landowners must certify the proposed use is consistent with local land use plans and zoning requirements.Holders of mineral rights will be notified of the intent to purchase a conservation easement.","Nonprofit; Public Agency; Tribal Government",,Statewide,State,"Presently, the rangeland account is empty, but WCB can fund range land projects from different funding sources.","Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$15,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-11 07:00:00",Ongoing,"1 year from board",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Joe Navari; email: joseph.navari@wildlife.ca.gov; tel: 1-916-926-2546;",
10277,,active,"2022-05-11 15:55:59",,"Wildlife Conservation Board","Ecosystem Restoration and Agricultural Lands",Grant,Yes,"Environment & Water",,"The intent of the Ecosystem Restoration and Agricultural Lands program is to collaborate with the agricultural community in identifying and implementing projects that provide long-term habitat benefits for wildlife, consistent with landowner objectives, including economic sustainability, and have the potential for replication on a statewide scale.","In many cases agricultural landowners are willing to integrate wildlife habitat benefits into the management and operations of their properties but lack the capital and/or expertise to implement these practices.ERAL Program project criteria:• All projects must be located on privately owned, agricultural land where agriculture is a major land-use activity, and there is a willing property owner.• All projects must provide on-site habitat benefits to wildlife.• All projects must be durable and include a long-term management plan and agreement that ensures that habitat features will remain on the landscape for a time period commensurate with wildlife population needs (a standard agreement is at least 25 years).Examples of eligible project activities include, but are not limited to:• Habitat restoration and enhancement of water corridors, streams, ditches, canals, tail water and return basins and ponds on agricultural lands.• Vegetated filler strips, hedgerows and other wildlife buffers.• Development of wetland areas.• Riparian and floodplain restoration.• Fencing to protect and enhance native habitats.• Restoration and enhancement of native grasslands.• Agricultural habitat management activities that provide significant environmental co-benefits including water quality improvements, carbon sequestration, etc.","Nonprofit; Public Agency; Tribal Government",,Statewide,State,"Currently, there are no specific funds assigned to this program. However, WCB will consider general funding sources to support this program.","Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$5,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-11 07:00:00",Ongoing,"2-4 year grant terms",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: James Croft; email: james.croft@wildlife.ca.gov; tel: 1-916-926-7523;",
10271,,active,"2022-05-11 15:59:52",,"Wildlife Conservation Board","Land Acquisitions",Grant,Yes,"Environment & Water",,"The WCB acquires real property or rights in real property on behalf of the California Department of Fish and Wildlife (CDFW) and can also grant funds to other governmental entities or nonprofit organizations to acquire real property or rights in real property.","All acquisitions are made on a ""willing seller"" basis pursuant to a fair market value appraisal as approved by the Department of General Services (DGS). The acquisition activities are carried out in conjunction with the CDFW, which generally entails CDFW evaluating the biological values of property through development of a Full WCB Real Property Acquisition Application. Once these evaluations are completed, they are submitted to CDFW’s Director for review and approval and then sent to the WCB with a recommendation to fund. Typically this process can take anywhere from 6 to 12 months. Concurrent to this the WCB regularly meets with CDFW to help evaluate and set acquisition priorities as new opportunities present themselves.","Public Agency; Tribal Government",,Statewide,State,"Multiple funding sources, which are variable depending on timing.","Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion","$500,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-11 07:00:00",Ongoing,"1 year from board",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Joe Navari; email: joseph.navari@wildlife.ca.gov; tel: 1-916-926-2546;",
10298,,active,"2022-05-10 21:05:29",,"Wildlife Conservation Board","Public Access",Grant,Yes,"Disadvantaged Communities; Parks & Recreation",,"Wildlife Conservation Board’s Public Access Program’s projects should focus on creating meaningful outdoor experiences for all Californians. Projects should provide public benefits, leverage funding to produce the greatest benefit, and provide access to natural and wild areas.","The Program prioritizes: boating access projects, hunting and fishing projects, and non-consumptive wildlife-oriented recreation. Planning and implementation projects are to be considered. Planning grants are intended to support the development of projects that are likely to qualify for future implementation funding under this program. Implementation grants are intended for construction, enhancement, or rehabilitation of public access facilities.","Nonprofit; Public Agency; Tribal Government",,Statewide,"Federal and State",,"Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$5,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-10 07:00:00",Ongoing,6/30/2025,Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Heather McIntire; email: heather.mcintire@wildlife.ca.gov; tel: 1-916-926-9585;",
10295,,active,"2022-05-10 20:51:00",,"Wildlife Conservation Board","Oak Woodlands Conservation",Grant,Yes,"Environment & Water",,"The Oak Woodlands Conservation Program offers landowners, conservation organizations, cities and counties, an opportunity to obtain funding for projects designed to conserve and restore California's oak woodlands. While the Program is statewide in nature, it provides opportunities to address oak woodland issues on a regional priority basis.","The Program is designed to help local efforts achieve oak woodland protection. More importantly, this Program provides a mechanism to bring ranchers and conservationists together in a manner that allows both to achieve that which is so valued - sustainable ranch and farming operations and healthy oak woodlands.","Nonprofit; Public Agency; Tribal Government",,Statewide,State,,"Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$15,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-10 07:00:00",Ongoing,"1 year from board",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Joe Navari; email: joseph.navari@wildlife.ca.gov; tel: 1-916-926-2546;",
10292,,active,"2022-05-18 19:23:58","Adjusted description","Wildlife Conservation Board","Lower American River Conservancy Program",Grant,Yes,"Disadvantaged Communities; Environment & Water; Parks & Recreation",,"The Program was created to provide a state partner to work cooperatively with local agencies, particularly the County of Sacramento in its role as the manager of the American River Parkway (Parkway) and nonprofit organizations to help fund projects and provide grants to restore, enhance, interpret, protect, and improve public access to the Parkway’s natural, recreational, educational, and cultural resources.","WCB may award grants for the following project purposes:  • The acquisition, restoration, enhancement, and maintenance of fish and wildlife habitat and other natural resources, including resources impacted by wildfire, within and adjacent to the American River Parkway.• The improvement and expansion of public access, recreational areas, and recreational facilities, including trails.• The enhancement of interpretive and educational facilities related to the American River Parkway and its natural, cultural, and historic resources.• The control and removal of invasive species and the propagation of native species. Improve and enhance lands within and adjacent to the American River Parkway. Projects funded on adjacent lands shall contribute to the advancement of American River Parkway values.• Design, implement, and provide grants for stormwater capture and treatment projects to improve the quality of water that flows within and into the American River Parkway and to increase habitat for fish and wildlife. Stormwater projects may include lands within and adjacent to the American River Parkway and its tributaries downstream of the Nimbus Dam and within Sacramento County.  All projects must be recommended by the Lower American River Conservancy Program Advisory Committee before proceeding to the Wildlife Conservation Board meeting for approval. ","Nonprofit; Public Agency; Tribal Government",,"Lower American River",State,,"Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$3,840,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-10 07:00:00",Ongoing,"June 30, 2024","Summer 2023","email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Library/News,"name: Cara Allen; email: cara.allen@wildlife.ca.gov; tel: 1-916-926-9584;",
10289,,active,"2022-05-10 20:28:43",,"Wildlife Conservation Board","Forest Conservation",Grant,Yes,"Environment & Water",,"The Forest Conservation Program supports planning, acquisition, and restoration projects throughout California’s forests, consistent with the Board's Strategic Plan.","The Program was created on November 7, 2006 with the Safe Drinking Water, Water Quality and Supply, Flood Control, River and Coastal Protection Bond Act of 2006 (Proposition 84). That Act charged the Board to develop a grant program and “…promote the ecological integrity and economic stability of California’s diverse native forests for all their public benefits through forest conservation, preservation, and restoration of productive managed forest lands, forest reserve areas, redwood forests and other forest types, including the conservation of water resources and natural habitat for native fish and wildlife and plants found on these lands” (PRC section 75055a).  Additional funding for the Forest Conservation Program was provided by the California Drought, Water, Parks, Climate, Coastal Protection, and Outdoor Access For All Act of 2018 (Proposition 68) which authorized the Board to advance “…protection, restoration, and improvement of upper watershed lands in the Sierra Nevada and Cascade Mountains, including forest lands, meadows, wetlands, chaparral, and riparian habitat, in order to protect and improve water supply and water quality, improve forest health, reduce wildfire danger, mitigate the effects of wildfires on water quality and supply, increase flood protection, or to protect or restore riparian or aquatic resources” (PRC section 80132d).  Project examples include, but are not limited to:• Meadow restoration• Forest thinning (hazard fuel reduction)• Post-fire restoration• Aspen stand enhancement","Nonprofit; Public Agency; Tribal Government",,Statewide,State,"$1 million of funding specific to this program remain. However, WCB will consider general funding sources to support this program.","Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$1,300,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-10 07:00:00",Ongoing,"2-4 year grant terms",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Subscribe,"name: Judah Grossman; email: judah.grossman@wildlife.ca.gov; tel: 1-916-926-8829;",
10274,,active,"2022-05-10 15:45:48",,"Wildlife Conservation Board","Climate Adaptation and Resiliency",Grant,Yes,"Environment & Water",,"The Climate Adaptation and Resiliency Program was created by AB109, which amended the Budget Act of 2017 to provide local assistance through the Wildlife Conservation Board for conservation projects focusing on resilience to projected climate impacts.","These projects must be consistent with the State’s climate adaptation strategy (Safeguarding California Plan), contribute to the carbon sequestration goals of AB 32, and support WCB’s Strategic Plan. In addition, projects will be consistent with other statewide plans and priorities, including the California Water Action Plan and California State Wildlife Action Plan 2015 Update.  Program funding is directed toward projects that:  Protect and restore ecosystems on natural and working lands to provide climate change adaptation and resilience for wildlife.Assist natural and working lands managers in implementing practices that provide climate adaptation and resilience.Increase carbon sequestration in natural and working lands, and provide additional social, economic, and environmental benefits, or ""co-benefits"".","Nonprofit; Public Agency; Tribal Government",,Statewide,State,"A limited amount of Greenhouse Gas Reduction Funds remain to the support this program, however, WCB will considered general funding sources to support this program.","Not Required","Cost share is not required but may be beneficial, in particular to complete a larger project. Applications with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” application evaluation criterion.","$2,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)",,"2022-05-10 07:00:00",Ongoing,"2-4 year grant terms",Continuous,"email: WCBpreapps@wildlife.ca.gov;",https://wcb.ca.gov/Grants,https://wcb.ca.gov,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Subscribe,"name: Kurt Malchow; email: kurt.malchow@wildlife.ca.gov; tel: 1-916-926-2792;",
8780,,active,"2022-05-10 17:17:39","Workshop & Zoom Meeting February 15, 2022 at 1:00 p.m.","San Diego River Conservancy","San Diego River Conservancy Direct Grant Program",Grant,No,"Disadvantaged Communities; Environment & Water; Parks & Recreation",,"Funding for this grant program was provided through the Budget Act of 2021-22 for local assistance projects.","This funding furthers the purposes of the Conservancy’s mission, enabling legislation Public Resources Code, Division 22.9, Sections 32630 et al. (“the San Diego River Conservancy Act”), the Conservancy’s Strategic Plan Update 2018-2023, and other state approved priorities and plans.","Nonprofit; Public Agency; Tribal Government",,"San Diego River Watershed and Consortium Watersheds",State,,"Not Required",,"$6,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),,"2022-05-10 07:00:00",Ongoing,2024,2022,,https://sdrc.ca.gov/wp-content/uploads/2022/01/SDRC_draft-guidelines-for-Directed-grants-for-posting-final.pdf,https://sdrc.ca.gov/,,,"name: Dustin Harrison; email: dustin.harrison@sdrc.ca.gov; tel: 1-619-390-0571;",
1923,,forecasted,"2022-05-10 17:25:26","Issuance of NOFA was delayed until Late Summer/Fall 2022.","Coachella Valley Mountains Conservancy","Coachella Valley Mountains Conservancy Proposition 1 Grant Program",Grant,Yes,"Environment & Water",,"Implement the California Water Action Plan in the Coachella Valley and its watersheds.","Grants are awarded for projects that fulfill one or more of the statutory objectives of Proposition 1 and complies with the General Obligation Bond Law. Three categories of projects are specifically preferred : (a) acquisition projects involving the purchase of land for conservation that implements the key objectives of the California Water Action Plan, (b) watershed restoration projects associated with the enhancement of watershed-related natural features, such as washes, channels, streams or riverbeds, and (c) infrastructure projects related to the improvement of water management structures to complement surrounding habitat values.  Awards are made through a competitive process initiated by periodic Notices of Funding Availability (NOFA), which typically are issued once or twice a year.  The next NOFA is expected to be issued in early 2021.   Upon the issuance of the NOFA, a short preliminary application form, available from the Conservancy, must be submitted, and thereafter the applicant must participate in a pre application consultation with Conservancy staff.  After that, the application can be submitted for review by the Conservancy's independent review panel and ultimately consideration by the Conservancy board.  Further details on the application procedure can be found in the Proposition 1 Guidelines on the Conservancy's website. ","Nonprofit; Public Agency; Tribal Government",,"Within the Conservancy's territorial jurisdiction.   Projects that benefit economically disadvantaged communities with a median income of less than 80 % of the statewide median receive additional points in the scoring process.",State,"Proposition 1 provides funding for this program.","Not Required","While matching funds are not required, applications that include matching funds received additional points in the scoring process.   Most projects that have been funded provided at least 20% in matching funds. ","$2,200,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),,"Fall 2022",,"90 days","Late summer 2022","email: drosas@cvmc.ca.gov;",https://www.cvmc.ca.gov,https://www.cvmc.ca.gov,,https://www.cvmc.ca.gov,"name: Diana Rosas; email: drosas@cvmc.ca.gov; tel: 1-760-776-5026;",
10265,,active,"2022-05-09 16:21:35",,"Governor's Office of Emergency Services","2022-23 Transitional Housing (XH) Program RFP",Grant,No,"Housing, Community and Economic Development; Law, Justice, and Legal Services","Victim Services","The purpose of the XH Program is to provide victims of crime with transitional/short-term housing assistance and a range of supportive services with the goal of moving victims into safe, permanent housing.","The XH Program is designed after the Housing First model; a form of rapid rehousing adapted to move and rehouse victims of crime who are experiencing homelessness into permanent housing quickly and provide ongoing supportive services. Transitional/short-term housing is a temporary solution – usually a room or apartment – meant to be a safe space in which victims can process their trauma and build a supportive network with the goal of moving into safe, permanent housing.  Since 2017, California has implemented the Housing First Model as defined in Welfare and Institutions (W&I) Code Section 8255 to address the prevalence of homelessness in California. The Housing First Model is an approach to connect individuals and families experiencing homelessness quickly and successfully to permanent housing without preconditions and barriers to entry, such as sobriety, treatment, or","Nonprofit; Public Agency","Applicants must have a Unique Entity Identifier (Unique Entity ID) registered in the federal System for Award Management (SAM). Applicants who do not currently have a Unique Entity ID will need to register at SAM.gov to obtain one.  See full Request for Proposal for complete requirements.",,Federal,"Applicants may apply for up to $350,000 for the 12-month Grant Subaward performance period.   ",20%,"Applicants may request a partial or full match waiver (match waiver requests are not considered during the Proposal Rating process).  To request a match wavier, Applicants must submit the VOCA Match Waiver Request form (Cal OES Form 2-159) with their proposal. Up to two VOCA fund sources can be entered on one form. All sections of the form must be completed and answers to questions 6 and 7 must be specific and unique to the Applicant and Program.","$17,150,000","Dependant on number of submissions received, application process, etc.","Between $1 and $350,000",Reimbursement(s),,"2022-05-09 15:00:00","2022-07-05 23:59:00","01/01/23 - 12/31/23",09/30/2021,"email: Kathleen.Grommet@caloes.ca.gov;",https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=XH,https://www.caloes.ca.gov/cal-oes-divisions/grants-management,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants,,"name: Kathleen Grommet; email: Kathleen.Grommet@caloes.ca.gov; tel: 1-916-845-8510;",
